1 4 7 l1d
1 5 7 l1d
16 20 5 l1d
16 21 5 l1d
17 4 5 l1d
17 5 5 l1d
17 24 5 l1d
17 25 5 l1d
17 28 5 l1d
17 29 5 l1d
17 32 5 l1d
17 33 5 l1d
18 20 5 l1d
18 21 5 l1d
18 24 5 l1d
18 25 5 l1d
18 28 5 l1d
18 29 5 l1d
18 32 0 l1d
18 32 4 l1d
18 32 5 l1d
18 33 0 l1d
18 33 4 l1d
18 33 5 l1d
18 44 5 l1d
18 45 5 l1d
19 32 5 l1d
19 33 5 l1d
20 20 2 l1d
20 21 2 l1d
20 24 3 l1d
20 25 3 l1d
20 28 3 l1d
20 29 3 l1d
20 32 3 l1d
20 33 3 l1d
21 20 3 l1d
21 21 3 l1d
21 32 3 l1d
21 33 3 l1d
21 44 3 l1d
21 45 3 l1d
23 12 3 l1d
23 13 3 l1d
23 16 3 l1d
23 17 3 l1d
23 20 3 l1d
23 21 3 l1d
23 24 3 l1d
23 25 3 l1d
23 32 3 l1d
23 33 3 l1d
24 4 3 l1d
24 5 3 l1d
24 28 2 l1d
24 28 3 l1d
24 29 2 l1d
24 29 3 l1d
24 36 3 l1d
24 37 3 l1d
25 8 3 l1d
25 9 3 l1d
25 28 3 l1d
25 29 3 l1d
25 36 3 l1d
25 37 3 l1d
25 40 3 l1d
25 41 3 l1d
25 43 6 l1d
25 44 3 l1d
25 44 6 l1d
25 45 3 l1d
25 48 3 l1d
25 49 3 l1d
27 8 1 l1d
27 9 1 l1d
27 24 1 l1d
27 25 1 l1d
28 16 0 l1d
28 17 0 l1d
28 20 0 l1d
28 21 0 l1d
28 24 1 l1d
28 25 1 l1d
28 56 1 l1d
28 57 1 l1d
28 63 7 l1d
29 0 7 l1d
29 12 1 l1d
29 13 1 l1d
29 16 1 l1d
29 17 1 l1d
29 20 1 l1d
29 21 1 l1d
29 24 1 l1d
29 25 1 l1d
29 28 1 l1d
29 29 1 l1d
29 56 1 l1d
29 57 1 l1d
29 60 1 l1d
29 61 1 l1d
30 0 1 l1d
30 1 1 l1d
30 20 1 l1d
30 21 1 l1d
30 24 1 l1d
30 25 1 l1d
31 11 4 l1d
31 12 4 l1d
31 15 4 l1d
31 16 0 l1d
31 16 1 l1d
31 16 4 l1d
31 17 0 l1d
31 17 1 l1d
31 32 1 l1d
31 33 1 l1d
31 56 1 l1d
31 57 1 l1d
31 60 1 l1d
31 61 1 l1d
